ID,exerciseName,pos1,pos2,pos3,pos4,videolink,audioLink
1,Diamond push-up,"Get on your hands and knees, with your hands close together and your thumbs and index fingers forming a diamond shape.",Extend your feet backward and straighten your body so that your bodyweight is being supported by your hands and forefeet.,0,0,https://i.imgur.com/HOfLu88.mp4,https://od.lk/s/NzVfMzI5OTEwNDVf/1.mp3
2,Diamond push-up on knees,"Get into a push-up position, supporting your body on your hands and knees instead of on your hands and forefeet. Your hands should be positioned in such a way as to form a diamond shape with your thumbs and index fingers.",0,0,0,https://i.imgur.com/lylUowg.mp4,https://od.lk/s/NzVfMzI5OTEwNDRf/2.mp3
3,Push-up,"Get on your hands and knees, with your arms positioned a little wider than shoulder width.",Extend your feet backward and straighten your body.,0,0,https://i.imgur.com/n2iN1pc.mp4,https://od.lk/s/NzVfMzI5OTEwNDNf/3.mp3
4,Weighted push-up,Get into a push-up position. ,"You should be supporting your body on your hands and forefeet. Your body should be straight and rigid, and your hands should be wider than shoulder width apart.","Get a training partner to place a weight plate on your back, where he or she must hold it securely throughout the exercise.",0,https://i.imgur.com/nLrU5Ux.mp4,https://od.lk/s/NzVfMzI5OTEwNDJf/4.mp3
5,Knee push-up,"Get into a push-up position, supporting your body on your hands and knees instead of on your hands and forefeet. Your hands should be a little wider than shoulder width apart.",0,0,0,https://i.imgur.com/jAvxTxi.mp4,https://od.lk/s/NzVfMzI5OTEwNDFf/5.mp3
6,Decline push-up,"With a bench behind you, get on your hands and knees.",Position your hands slightly wider than shoulder width.,Place your feet on the bench and straighten your body.,0,https://i.imgur.com/Fi6uzTU.mp4,https://od.lk/s/NzVfMzI5OTEwNDBf/6.mp3
7,Dumbbell bench press,"Holding a dumbbell in each hand, sit on a flat bench and rest one dumbbell on each knee.","As you lie back on the bench, kick each dumbbell up into position, one at a time.","Position the dumbbells to the sides of your chest, with your arms bent at a 90-degree angle. Your elbows should not be pointing straight out to the sides; rather, tuck them in a little to approximately a 45-degree angle.","Spread your legs, bring your feet back, and place them firmly on the ground. Either your toes or your heels should be planted firmly on the floor.Arch your back and straighten your wrists.",https://i.imgur.com/ojsKfaJ.mp4,https://od.lk/s/NzVfMzI5OTEwMzlf/7.mp3
8,Barbell bench press,Lie supine (on your back) on a flat bench.,"Spread your legs, bring your feet back, and place them firmly on the ground. Either your toes or your heels should be planted on the floor.",Arch your back then Dismount the barbell using a grip that is a little over shoulder-width apart.,"While holding the barbell, retract (push together) your shoulder blades and straighten your wrists.",https://i.imgur.com/p5BG6qK.mp4,https://od.lk/s/NzVfMzI5OTEwMzdf/8.mp3
9,Stability ball decline push-up,"Get down on your hands and knees, with a stability ball behind you. Your hands should be positioned slightly wider than shoulder width.","Extend your feet backward, place them on the stability ball, and straighten your body.",0,0,https://i.imgur.com/akc7cv1.mp4,https://od.lk/s/NzVfMzI5OTEwMzZf/9.mp3
10,Stability ball jackknife,"Get into a push-up position with your shins resting on top of a stability ball. You can do this by kneeling in front of a stability ball, lying with your waist on top of the ball, and then crawling forward on your hands over the ball until your shins are in position.",0,0,0,https://i.imgur.com/pjPGlj7.mp4,https://od.lk/s/NzVfMzI5OTEwMzJf/10.mp3
